"country","continent","year","lifeExp","pop","gdpPercap"
"Afghanistan","Asia",1982,39.854,12881816,978.0114388
"Afghanistan","Asia",1987,40.822,13867957,852.3959448
"Afghanistan","Asia",1992,41.674,16317921,649.3413952
"Afghanistan","Asia",1997,41.763,22227415,635.341351
"Afghanistan","Asia",2002,42.129,25268405,726.7340548
"Afghanistan","Asia",2007,43.828,31889923,974.5803384
"Albania","Europe",1982,70.42,2780097,3630.880722
"Albania","Europe",1987,72,3075321,3738.932735
"Albania","Europe",1992,71.581,3326498,2497.437901
"Albania","Europe",1997,72.95,3428038,3193.054604
"Albania","Europe",2002,75.651,3508512,4604.211737
"Albania","Europe",2007,76.423,3600523,5937.029526
"Algeria","Africa",1982,61.368,20033753,5745.160213
"Algeria","Africa",1987,65.799,23254956,5681.358539
"Algeria","Africa",1992,67.744,26298373,5023.216647
"Algeria","Africa",1997,69.152,29072015,4797.295051
"Algeria","Africa",2002,70.994,31287142,5288.040382
"Algeria","Africa",2007,72.301,33333216,6223.367465
"Angola","Africa",1982,39.942,7016384,2756.953672
"Angola","Africa",1987,39.906,7874230,2430.208311
"Angola","Africa",1992,40.647,8735988,2627.845685
"Angola","Africa",1997,40.963,9875024,2277.140884
"Angola","Africa",2002,41.003,10866106,2773.287312
"Angola","Africa",2007,42.731,12420476,4797.231267
"Argentina","Americas",1982,69.942,29341374,8997.897412
"Argentina","Americas",1987,70.774,31620918,9139.671389
"Argentina","Americas",1992,71.868,33958947,9308.41871
"Argentina","Americas",1997,73.275,36203463,10967.28195
"Argentina","Americas",2002,74.34,38331121,8797.640716
"Argentina","Americas",2007,75.32,40301927,12779.37964
"Australia","Oceania",1982,74.74,15184200,19477.00928
"Australia","Oceania",1987,76.32,16257249,21888.88903
"Australia","Oceania",1992,77.56,17481977,23424.76683
"Australia","Oceania",1997,78.83,18565243,26997.93657
"Australia","Oceania",2002,80.37,19546792,30687.75473
"Australia","Oceania",2007,81.235,20434176,34435.36744
"Austria","Europe",1982,73.18,7574613,21597.08362
"Austria","Europe",1987,74.94,7578903,23687.82607
"Austria","Europe",1992,76.04,7914969,27042.01868
"Austria","Europe",1997,77.51,8069876,29095.92066
"Austria","Europe",2002,78.98,8148312,32417.60769
"Austria","Europe",2007,79.829,8199783,36126.4927
"Bahrain","Asia",1982,69.052,377967,19211.14731
"Bahrain","Asia",1987,70.75,454612,18524.02406
"Bahrain","Asia",1992,72.601,529491,19035.57917
"Bahrain","Asia",1997,73.925,598561,20292.01679
"Bahrain","Asia",2002,74.795,656397,23403.55927
"Bahrain","Asia",2007,75.635,708573,29796.04834
"Bangladesh","Asia",1982,50.009,93074406,676.9818656
"Bangladesh","Asia",1987,52.819,103764241,751.9794035
"Bangladesh","Asia",1992,56.018,113704579,837.8101643
"Bangladesh","Asia",1997,59.412,123315288,972.7700352
"Bangladesh","Asia",2002,62.013,135656790,1136.39043
"Bangladesh","Asia",2007,64.062,150448339,1391.253792
"Belgium","Europe",1982,73.93,9856303,20979.84589
"Belgium","Europe",1987,75.35,9870200,22525.56308
"Belgium","Europe",1992,76.46,10045622,25575.57069
"Belgium","Europe",1997,77.53,10199787,27561.19663
"Belgium","Europe",2002,78.32,10311970,30485.88375
"Belgium","Europe",2007,79.441,10392226,33692.60508
"Benin","Africa",1982,50.904,3641603,1277.897616
"Benin","Africa",1987,52.337,4243788,1225.85601
"Benin","Africa",1992,53.919,4981671,1191.207681
"Benin","Africa",1997,54.777,6066080,1232.975292
"Benin","Africa",2002,54.406,7026113,1372.877931
"Benin","Africa",2007,56.728,8078314,1441.284873
"Bolivia","Americas",1982,53.859,5642224,3156.510452
"Bolivia","Americas",1987,57.251,6156369,2753.69149
"Bolivia","Americas",1992,59.957,6893451,2961.699694
"Bolivia","Americas",1997,62.05,7693188,3326.143191
"Bolivia","Americas",2002,63.883,8445134,3413.26269
"Bolivia","Americas",2007,65.554,9119152,3822.137084
"Bosnia and Herzegovina","Europe",1982,70.69,4172693,4126.613157
"Bosnia and Herzegovina","Europe",1987,71.14,4338977,4314.114757
"Bosnia and Herzegovina","Europe",1992,72.178,4256013,2546.781445
"Bosnia and Herzegovina","Europe",1997,73.244,3607000,4766.355904
"Bosnia and Herzegovina","Europe",2002,74.09,4165416,6018.975239
"Bosnia and Herzegovina","Europe",2007,74.852,4552198,7446.298803
"Botswana","Africa",1982,61.484,970347,4551.14215
"Botswana","Africa",1987,63.622,1151184,6205.88385
"Botswana","Africa",1992,62.745,1342614,7954.111645
"Botswana","Africa",1997,52.556,1536536,8647.142313
"Botswana","Africa",2002,46.634,1630347,11003.60508
"Botswana","Africa",2007,50.728,1639131,12569.85177
"Brazil","Americas",1982,63.336,128962939,7030.835878
"Brazil","Americas",1987,65.205,142938076,7807.095818
"Brazil","Americas",1992,67.057,155975974,6950.283021
"Brazil","Americas",1997,69.388,168546719,7957.980824
"Brazil","Americas",2002,71.006,179914212,8131.212843
"Brazil","Americas",2007,72.39,190010647,9065.800825
"Bulgaria","Europe",1982,71.08,8892098,8224.191647
"Bulgaria","Europe",1987,71.34,8971958,8239.854824
"Bulgaria","Europe",1992,71.19,8658506,6302.623438
"Bulgaria","Europe",1997,70.32,8066057,5970.38876
"Bulgaria","Europe",2002,72.14,7661799,7696.777725
"Bulgaria","Europe",2007,73.005,7322858,10680.79282
"Burkina Faso","Africa",1982,48.122,6634596,807.1985855
"Burkina Faso","Africa",1987,49.557,7586551,912.0631417
"Burkina Faso","Africa",1992,50.26,8878303,931.7527731
"Burkina Faso","Africa",1997,50.324,10352843,946.2949618
"Burkina Faso","Africa",2002,50.65,12251209,1037.645221
"Burkina Faso","Africa",2007,52.295,14326203,1217.032994
"Burundi","Africa",1982,47.471,4580410,559.603231
"Burundi","Africa",1987,48.211,5126023,621.8188189
"Burundi","Africa",1992,44.736,5809236,631.6998778
"Burundi","Africa",1997,45.326,6121610,463.1151478
"Burundi","Africa",2002,47.36,7021078,446.4035126
"Burundi","Africa",2007,49.58,8390505,430.0706916
"Cambodia","Asia",1982,50.957,7272485,624.4754784
"Cambodia","Asia",1987,53.914,8371791,683.8955732
"Cambodia","Asia",1992,55.803,10150094,682.3031755
"Cambodia","Asia",1997,56.534,11782962,734.28517
"Cambodia","Asia",2002,56.752,12926707,896.2260153
"Cambodia","Asia",2007,59.723,14131858,1713.778686
"Cameroon","Africa",1982,52.961,9250831,2367.983282
"Cameroon","Africa",1987,54.985,10780667,2602.664206
"Cameroon","Africa",1992,54.314,12467171,1793.163278
"Cameroon","Africa",1997,52.199,14195809,1694.337469
"Cameroon","Africa",2002,49.856,15929988,1934.011449
"Cameroon","Africa",2007,50.43,17696293,2042.09524
"Canada","Americas",1982,75.76,25201900,22898.79214
"Canada","Americas",1987,76.86,26549700,26626.51503
"Canada","Americas",1992,77.95,28523502,26342.88426
"Canada","Americas",1997,78.61,30305843,28954.92589
"Canada","Americas",2002,79.77,31902268,33328.96507
"Canada","Americas",2007,80.653,33390141,36319.23501
"Central African Republic","Africa",1982,48.295,2476971,956.7529907
"Central African Republic","Africa",1987,50.485,2840009,844.8763504
"Central African Republic","Africa",1992,49.396,3265124,747.9055252
"Central African Republic","Africa",1997,46.066,3696513,740.5063317
"Central African Republic","Africa",2002,43.308,4048013,738.6906068
"Central African Republic","Africa",2007,44.741,4369038,706.016537
"Chad","Africa",1982,49.517,4875118,797.9081006
"Chad","Africa",1987,51.051,5498955,952.386129
"Chad","Africa",1992,51.724,6429417,1058.0643
"Chad","Africa",1997,51.573,7562011,1004.961353
"Chad","Africa",2002,50.525,8835739,1156.18186
"Chad","Africa",2007,50.651,10238807,1704.063724
"Chile","Americas",1982,70.565,11487112,5095.665738
"Chile","Americas",1987,72.492,12463354,5547.063754
"Chile","Americas",1992,74.126,13572994,7596.125964
"Chile","Americas",1997,75.816,14599929,10118.05318
"Chile","Americas",2002,77.86,15497046,10778.78385
"Chile","Americas",2007,78.553,16284741,13171.63885
"China","Asia",1982,65.525,1000281000,962.4213805
"China","Asia",1987,67.274,1084035000,1378.904018
"China","Asia",1992,68.69,1164970000,1655.784158
"China","Asia",1997,70.426,1230075000,2289.234136
"China","Asia",2002,72.028,1280400000,3119.280896
"China","Asia",2007,72.961,1318683096,4959.114854
"Colombia","Americas",1982,66.653,27764644,4397.575659
"Colombia","Americas",1987,67.768,30964245,4903.2191
"Colombia","Americas",1992,68.421,34202721,5444.648617
"Colombia","Americas",1997,70.313,37657830,6117.361746
"Colombia","Americas",2002,71.682,41008227,5755.259962
"Colombia","Americas",2007,72.889,44227550,7006.580419
"Comoros","Africa",1982,52.933,348643,1267.100083
"Comoros","Africa",1987,54.926,395114,1315.980812
"Comoros","Africa",1992,57.939,454429,1246.90737
"Comoros","Africa",1997,60.66,527982,1173.618235
"Comoros","Africa",2002,62.974,614382,1075.811558
"Comoros","Africa",2007,65.152,710960,986.1478792
"Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181
"Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812
"Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807
"Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423
"Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765
"Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587
"Congo, Rep.","Africa",1982,56.695,1774735,4879.507522
"Congo, Rep.","Africa",1987,57.47,2064095,4201.194937
"Congo, Rep.","Africa",1992,56.433,2409073,4016.239529
"Congo, Rep.","Africa",1997,52.962,2800947,3484.164376
"Congo, Rep.","Africa",2002,52.97,3328795,3484.06197
"Congo, Rep.","Africa",2007,55.322,3800610,3632.557798
"Costa Rica","Americas",1982,73.45,2424367,5262.734751
"Costa Rica","Americas",1987,74.752,2799811,5629.915318
"Costa Rica","Americas",1992,75.713,3173216,6160.416317
"Costa Rica","Americas",1997,77.26,3518107,6677.045314
"Costa Rica","Americas",2002,78.123,3834934,7723.447195
"Costa Rica","Americas",2007,78.782,4133884,9645.06142
"Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169
"Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069
"Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791
"Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407
"Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823
"Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112
"Croatia","Europe",1982,70.46,4413368,13221.82184
"Croatia","Europe",1987,71.52,4484310,13822.58394
"Croatia","Europe",1992,72.527,4494013,8447.794873
"Croatia","Europe",1997,73.68,4444595,9875.604515
"Croatia","Europe",2002,74.876,4481020,11628.38895
"Croatia","Europe",2007,75.748,4493312,14619.22272
"Cuba","Americas",1982,73.717,9789224,7316.918107
"Cuba","Americas",1987,74.174,10239839,7532.924763
"Cuba","Americas",1992,74.414,10723260,5592.843963
"Cuba","Americas",1997,76.151,10983007,5431.990415
"Cuba","Americas",2002,77.158,11226999,6340.646683
"Cuba","Americas",2007,78.273,11416987,8948.102923
"Czech Republic","Europe",1982,70.96,10303704,15377.22855
"Czech Republic","Europe",1987,71.58,10311597,16310.4434
"Czech Republic","Europe",1992,72.4,10315702,14297.02122
"Czech Republic","Europe",1997,74.01,10300707,16048.51424
"Czech Republic","Europe",2002,75.51,10256295,17596.21022
"Czech Republic","Europe",2007,76.486,10228744,22833.30851
"Denmark","Europe",1982,74.63,5117810,21688.04048
"Denmark","Europe",1987,74.8,5127024,25116.17581
"Denmark","Europe",1992,75.33,5171393,26406.73985
"Denmark","Europe",1997,76.11,5283663,29804.34567
"Denmark","Europe",2002,77.18,5374693,32166.50006
"Denmark","Europe",2007,78.332,5468120,35278.41874
"Djibouti","Africa",1982,48.812,305991,2879.468067
"Djibouti","Africa",1987,50.04,311025,2880.102568
"Djibouti","Africa",1992,51.604,384156,2377.156192
"Djibouti","Africa",1997,53.157,417908,1895.016984
"Djibouti","Africa",2002,53.373,447416,1908.260867
"Djibouti","Africa",2007,54.791,496374,2082.481567
"Dominican Republic","Americas",1982,63.727,5968349,2861.092386
"Dominican Republic","Americas",1987,66.046,6655297,2899.842175
"Dominican Republic","Americas",1992,68.457,7351181,3044.214214
"Dominican Republic","Americas",1997,69.957,7992357,3614.101285
"Dominican Republic","Americas",2002,70.847,8650322,4563.808154
"Dominican Republic","Americas",2007,72.235,9319622,6025.374752
"Ecuador","Americas",1982,64.342,8365850,7213.791267
"Ecuador","Americas",1987,67.231,9545158,6481.776993
"Ecuador","Americas",1992,69.613,10748394,7103.702595
"Ecuador","Americas",1997,72.312,11911819,7429.455877
"Ecuador","Americas",2002,74.173,12921234,5773.044512
"Ecuador","Americas",2007,74.994,13755680,6873.262326
"Egypt","Africa",1982,56.006,45681811,3503.729636
"Egypt","Africa",1987,59.797,52799062,3885.46071
"Egypt","Africa",1992,63.674,59402198,3794.755195
"Egypt","Africa",1997,67.217,66134291,4173.181797
"Egypt","Africa",2002,69.806,73312559,4754.604414
"Egypt","Africa",2007,71.338,80264543,5581.180998
"El Salvador","Americas",1982,56.604,4474873,4098.344175
"El Salvador","Americas",1987,63.154,4842194,4140.442097
"El Salvador","Americas",1992,66.798,5274649,4444.2317
"El Salvador","Americas",1997,69.535,5783439,5154.825496
"El Salvador","Americas",2002,70.734,6353681,5351.568666
"El Salvador","Americas",2007,71.878,6939688,5728.353514
"Equatorial Guinea","Africa",1982,43.662,285483,927.8253427
"Equatorial Guinea","Africa",1987,45.664,341244,966.8968149
"Equatorial Guinea","Africa",1992,47.545,387838,1132.055034
"Equatorial Guinea","Africa",1997,48.245,439971,2814.480755
"Equatorial Guinea","Africa",2002,49.348,495627,7703.4959
"Equatorial Guinea","Africa",2007,51.579,551201,12154.08975
"Eritrea","Africa",1982,43.89,2637297,524.8758493
"Eritrea","Africa",1987,46.453,2915959,521.1341333
"Eritrea","Africa",1992,49.991,3668440,582.8585102
"Eritrea","Africa",1997,53.378,4058319,913.47079
"Eritrea","Africa",2002,55.24,4414865,765.3500015
"Eritrea","Africa",2007,58.04,4906585,641.3695236
"Ethiopia","Africa",1982,44.916,38111756,577.8607471
"Ethiopia","Africa",1987,46.684,42999530,573.7413142
"Ethiopia","Africa",1992,48.091,52088559,421.3534653
"Ethiopia","Africa",1997,49.402,59861301,515.8894013
"Ethiopia","Africa",2002,50.725,67946797,530.0535319
"Ethiopia","Africa",2007,52.947,76511887,690.8055759
"Finland","Europe",1982,74.55,4826933,18533.15761
"Finland","Europe",1987,74.83,4931729,21141.01223
"Finland","Europe",1992,75.7,5041039,20647.16499
"Finland","Europe",1997,77.13,5134406,23723.9502
"Finland","Europe",2002,78.37,5193039,28204.59057
"Finland","Europe",2007,79.313,5238460,33207.0844
"France","Europe",1982,74.89,54433565,20293.89746
"France","Europe",1987,76.34,55630100,22066.44214
"France","Europe",1992,77.46,57374179,24703.79615
"France","Europe",1997,78.64,58623428,25889.78487
"France","Europe",2002,79.59,59925035,28926.03234
"France","Europe",2007,80.657,61083916,30470.0167
"Gabon","Africa",1982,56.564,753874,15113.36194
"Gabon","Africa",1987,60.19,880397,11864.40844
"Gabon","Africa",1992,61.366,985739,13522.15752
"Gabon","Africa",1997,60.461,1126189,14722.84188
"Gabon","Africa",2002,56.761,1299304,12521.71392
"Gabon","Africa",2007,56.735,1454867,13206.48452
"Gambia","Africa",1982,45.58,715523,835.8096108
"Gambia","Africa",1987,49.265,848406,611.6588611
"Gambia","Africa",1992,52.644,1025384,665.6244126
"Gambia","Africa",1997,55.861,1235767,653.7301704
"Gambia","Africa",2002,58.041,1457766,660.5855997
"Gambia","Africa",2007,59.448,1688359,752.7497265
"Germany","Europe",1982,73.8,78335266,22031.53274
"Germany","Europe",1987,74.847,77718298,24639.18566
"Germany","Europe",1992,76.07,80597764,26505.30317
"Germany","Europe",1997,77.34,82011073,27788.88416
"Germany","Europe",2002,78.67,82350671,30035.80198
"Germany","Europe",2007,79.406,82400996,32170.37442
"Ghana","Africa",1982,53.744,11400338,876.032569
"Ghana","Africa",1987,55.729,14168101,847.0061135
"Ghana","Africa",1992,57.501,16278738,925.060154
"Ghana","Africa",1997,58.556,18418288,1005.245812
"Ghana","Africa",2002,58.453,20550751,1111.984578
"Ghana","Africa",2007,60.022,22873338,1327.60891
"Greece","Europe",1982,75.24,9786480,15268.42089
"Greece","Europe",1987,76.67,9974490,16120.52839
"Greece","Europe",1992,77.03,10325429,17541.49634
"Greece","Europe",1997,77.869,10502372,18747.69814
"Greece","Europe",2002,78.256,10603863,22514.2548
"Greece","Europe",2007,79.483,10706290,27538.41188
"Guatemala","Americas",1982,58.137,6395630,4820.49479
"Guatemala","Americas",1987,60.782,7326406,4246.485974
"Guatemala","Americas",1992,63.373,8486949,4439.45084
"Guatemala","Americas",1997,66.322,9803875,4684.313807
"Guatemala","Americas",2002,68.978,11178650,4858.347495
"Guatemala","Americas",2007,70.259,12572928,5186.050003
"Guinea","Africa",1982,42.891,4710497,857.2503577
"Guinea","Africa",1987,45.552,5650262,805.5724718
"Guinea","Africa",1992,48.576,6990574,794.3484384
"Guinea","Africa",1997,51.455,8048834,869.4497668
"Guinea","Africa",2002,53.676,8807818,945.5835837
"Guinea","Africa",2007,56.007,9947814,942.6542111
"Guinea-Bissau","Africa",1982,39.327,825987,838.1239671
"Guinea-Bissau","Africa",1987,41.245,927524,736.4153921
"Guinea-Bissau","Africa",1992,43.266,1050938,745.5398706
"Guinea-Bissau","Africa",1997,44.873,1193708,796.6644681
"Guinea-Bissau","Africa",2002,45.504,1332459,575.7047176
"Guinea-Bissau","Africa",2007,46.388,1472041,579.231743
"Haiti","Americas",1982,51.461,5198399,2011.159549
"Haiti","Americas",1987,53.636,5756203,1823.015995
"Haiti","Americas",1992,55.089,6326682,1456.309517
"Haiti","Americas",1997,56.671,6913545,1341.726931
"Haiti","Americas",2002,58.137,7607651,1270.364932
"Haiti","Americas",2007,60.916,8502814,1201.637154
"Honduras","Americas",1982,60.909,3669448,3121.760794
"Honduras","Americas",1987,64.492,4372203,3023.096699
"Honduras","Americas",1992,66.399,5077347,3081.694603
"Honduras","Americas",1997,67.659,5867957,3160.454906
"Honduras","Americas",2002,68.565,6677328,3099.72866
"Honduras","Americas",2007,70.198,7483763,3548.330846
"Hong Kong, China","Asia",1982,75.45,5264500,14560.53051
"Hong Kong, China","Asia",1987,76.2,5584510,20038.47269
"Hong Kong, China","Asia",1992,77.601,5829696,24757.60301
"Hong Kong, China","Asia",1997,80,6495918,28377.63219
"Hong Kong, China","Asia",2002,81.495,6762476,30209.01516
"Hong Kong, China","Asia",2007,82.208,6980412,39724.97867
"Hungary","Europe",1982,69.39,10705535,12545.99066
"Hungary","Europe",1987,69.58,10612740,12986.47998
"Hungary","Europe",1992,69.17,10348684,10535.62855
"Hungary","Europe",1997,71.04,10244684,11712.7768
"Hungary","Europe",2002,72.59,10083313,14843.93556
"Hungary","Europe",2007,73.338,9956108,18008.94444
"Iceland","Europe",1982,76.99,233997,23269.6075
"Iceland","Europe",1987,77.23,244676,26923.20628
"Iceland","Europe",1992,78.77,259012,25144.39201
"Iceland","Europe",1997,78.95,271192,28061.09966
"Iceland","Europe",2002,80.5,288030,31163.20196
"Iceland","Europe",2007,81.757,301931,36180.78919
"India","Asia",1982,56.596,708000000,855.7235377
"India","Asia",1987,58.553,788000000,976.5126756
"India","Asia",1992,60.223,872000000,1164.406809
"India","Asia",1997,61.765,959000000,1458.817442
"India","Asia",2002,62.879,1034172547,1746.769454
"India","Asia",2007,64.698,1110396331,2452.210407
"Indonesia","Asia",1982,56.159,153343000,1516.872988
"Indonesia","Asia",1987,60.137,169276000,1748.356961
"Indonesia","Asia",1992,62.681,184816000,2383.140898
"Indonesia","Asia",1997,66.041,199278000,3119.335603
"Indonesia","Asia",2002,68.588,211060000,2873.91287
"Indonesia","Asia",2007,70.65,223547000,3540.651564
"Iran","Asia",1982,59.62,43072751,7608.334602
"Iran","Asia",1987,63.04,51889696,6642.881371
"Iran","Asia",1992,65.742,60397973,7235.653188
"Iran","Asia",1997,68.042,63327987,8263.590301
"Iran","Asia",2002,69.451,66907826,9240.761975
"Iran","Asia",2007,70.964,69453570,11605.71449
"Iraq","Asia",1982,62.038,14173318,14517.90711
"Iraq","Asia",1987,65.044,16543189,11643.57268
"Iraq","Asia",1992,59.461,17861905,3745.640687
"Iraq","Asia",1997,58.811,20775703,3076.239795
"Iraq","Asia",2002,57.046,24001816,4390.717312
"Iraq","Asia",2007,59.545,27499638,4471.061906
"Ireland","Europe",1982,73.1,3480000,12618.32141
"Ireland","Europe",1987,74.36,3539900,13872.86652
"Ireland","Europe",1992,75.467,3557761,17558.81555
"Ireland","Europe",1997,76.122,3667233,24521.94713
"Ireland","Europe",2002,77.783,3879155,34077.04939
"Ireland","Europe",2007,78.885,4109086,40675.99635
"Israel","Asia",1982,74.45,3858421,15367.0292
"Israel","Asia",1987,75.6,4203148,17122.47986
"Israel","Asia",1992,76.93,4936550,18051.52254
"Israel","Asia",1997,78.269,5531387,20896.60924
"Israel","Asia",2002,79.696,6029529,21905.59514
"Israel","Asia",2007,80.745,6426679,25523.2771
"Italy","Europe",1982,74.98,56535636,16537.4835
"Italy","Europe",1987,76.42,56729703,19207.23482
"Italy","Europe",1992,77.44,56840847,22013.64486
"Italy","Europe",1997,78.82,57479469,24675.02446
"Italy","Europe",2002,80.24,57926999,27968.09817
"Italy","Europe",2007,80.546,58147733,28569.7197
"Jamaica","Americas",1982,71.21,2298309,6068.05135
"Jamaica","Americas",1987,71.77,2326606,6351.237495
"Jamaica","Americas",1992,71.766,2378618,7404.923685
"Jamaica","Americas",1997,72.262,2531311,7121.924704
"Jamaica","Americas",2002,72.047,2664659,6994.774861
"Jamaica","Americas",2007,72.567,2780132,7320.880262
"Japan","Asia",1982,77.11,118454974,19384.10571
"Japan","Asia",1987,78.67,122091325,22375.94189
"Japan","Asia",1992,79.36,124329269,26824.89511
"Japan","Asia",1997,80.69,125956499,28816.58499
"Japan","Asia",2002,82,127065841,28604.5919
"Japan","Asia",2007,82.603,127467972,31656.06806
"Jordan","Asia",1982,63.739,2347031,4161.415959
"Jordan","Asia",1987,65.869,2820042,4448.679912
"Jordan","Asia",1992,68.015,3867409,3431.593647
"Jordan","Asia",1997,69.772,4526235,3645.379572
"Jordan","Asia",2002,71.263,5307470,3844.917194
"Jordan","Asia",2007,72.535,6053193,4519.461171
"Kenya","Africa",1982,58.766,17661452,1348.225791
"Kenya","Africa",1987,59.339,21198082,1361.936856
"Kenya","Africa",1992,59.285,25020539,1341.921721
"Kenya","Africa",1997,54.407,28263827,1360.485021
"Kenya","Africa",2002,50.992,31386842,1287.514732
"Kenya","Africa",2007,54.11,35610177,1463.249282
"Korea, Dem. Rep.","Asia",1982,69.1,17647518,4106.525293
"Korea, Dem. Rep.","Asia",1987,70.647,19067554,4106.492315
"Korea, Dem. Rep.","Asia",1992,69.978,20711375,3726.063507
"Korea, Dem. Rep.","Asia",1997,67.727,21585105,1690.756814
"Korea, Dem. Rep.","Asia",2002,66.662,22215365,1646.758151
"Korea, Dem. Rep.","Asia",2007,67.297,23301725,1593.06548
"Korea, Rep.","Asia",1982,67.123,39326000,5622.942464
"Korea, Rep.","Asia",1987,69.81,41622000,8533.088805
"Korea, Rep.","Asia",1992,72.244,43805450,12104.27872
"Korea, Rep.","Asia",1997,74.647,46173816,15993.52796
